id,comment,company_id,car_id,user_id,created_at,updated_at,km,performed,status,payment_method_id,company_info,budget_id,deliver,deliver_actual
12557,,12,5653,4,2013-02-01 08:20:59 -0300,2013-02-05 18:08:35 -0300,43000,2013-02-01,4,1,"",,,
12565,,12,8900,1199,2013-02-01 09:32:02 -0300,2013-02-01 19:39:33 -0300,75500,2013-02-01,4,1,"",,,
12566,,12,8200,1199,2013-02-01 09:42:12 -0300,2013-02-01 19:44:21 -0300,203000,2013-02-01,4,1,"",,,
12568,,12,9067,1199,2013-02-01 09:54:52 -0300,2013-02-05 18:09:14 -0300,134000,2013-02-01,4,3,"",3865,,
12569,,12,9066,1200,2013-02-01 09:57:25 -0300,2013-02-05 18:09:37 -0300,65000,2013-02-01,4,1,"",,,
12571,,12,9068,1199,2013-02-01 10:00:57 -0300,2013-02-01 19:36:53 -0300,160730,2013-02-01,4,3,"",,,
12573,,12,9069,1199,2013-02-01 10:14:11 -0300,2013-02-05 18:10:06 -0300,10000,2013-02-01,4,1,"",,,
12574,,12,9005,1199,2013-02-01 10:26:49 -0300,2013-02-05 18:11:06 -0300,55500,2013-02-01,4,1,"",,,
12578,,12,9070,1200,2013-02-01 10:58:34 -0300,2013-02-05 18:11:28 -0300,83000,2013-02-01,4,1,"",3673,,
12581,,12,9073,1199,2013-02-01 11:58:56 -0300,2013-02-05 18:11:58 -0300,45000,2013-02-01,4,1,"",,,
12584,,12,9075,1199,2013-02-01 16:28:57 -0300,2013-02-05 18:12:20 -0300,43500,2013-02-01,4,1,"",,,
12585,,12,9077,1199,2013-02-01 16:31:47 -0300,2013-02-05 18:12:41 -0300,27500,2013-02-01,4,1,"",,,
12586,,12,9078,1200,2013-02-01 16:39:41 -0300,2013-02-05 18:13:33 -0300,231567,2013-02-01,4,1,"",,,
12587,,12,9079,1199,2013-02-01 17:05:16 -0300,2013-02-05 18:13:56 -0300,100000,2013-02-01,4,1,"",,,
12589,,12,9080,1199,2013-02-01 17:17:36 -0300,2013-02-05 18:13:01 -0300,197200,2013-02-01,4,1,"",,,
12597,,12,9088,1199,2013-02-01 18:22:06 -0300,2013-02-05 18:14:18 -0300,38000,2013-02-01,4,1,"",,,
12598,,12,8835,1199,2013-02-01 18:25:22 -0300,2013-02-05 18:16:11 -0300,95000,2013-02-01,4,1,"",,,
12603,,12,9092,1199,2013-02-01 19:11:15 -0300,2013-02-05 18:25:51 -0300,1111111111,2013-02-01,4,1,"",,,
12604,,12,7456,1199,2013-02-01 19:17:33 -0300,2013-02-06 19:47:03 -0300,88978,2013-02-01,4,1,"",3881,,
12606,,12,9093,1199,2013-02-01 19:26:45 -0300,2013-02-06 19:47:22 -0300,80000,2013-02-01,4,1,"",,,
12616,,12,9101,1199,2013-02-02 08:35:41 -0300,2013-02-04 19:24:34 -0300,160000,2013-02-02,4,1,"",,,
12622,,12,9104,1199,2013-02-02 09:00:02 -0300,2013-02-04 19:25:27 -0300,44000,2013-02-02,4,3,"",,,
12625,,12,9107,1199,2013-02-02 09:34:34 -0300,2013-02-05 18:03:46 -0300,140000,2013-02-02,4,1,"",3879,,
12627,,12,9110,1199,2013-02-02 09:49:20 -0300,2013-02-04 19:25:53 -0300,200000,2013-02-02,4,3,"",,,
12630,,12,8930,1199,2013-02-02 10:05:46 -0300,2013-02-05 17:54:52 -0300,85000,2013-02-02,4,1,"",,,
12633,,12,9112,1199,2013-02-02 10:26:45 -0300,2013-02-04 19:26:43 -0300,140000,2013-02-02,4,3,"",,,
12635,,12,9113,1200,2013-02-02 10:38:44 -0300,2013-02-05 18:05:50 -0300,43000,2013-02-02,4,1,"",,,
12645,,12,9120,1200,2013-02-02 12:12:52 -0300,2013-02-05 18:06:10 -0300,284000,2013-02-02,4,1,"",,,
12647,,12,9121,1199,2013-02-02 12:32:22 -0300,2013-02-05 18:07:14 -0300,150000,2013-02-02,4,3,"",,,
12649,,12,9122,4,2013-02-02 13:34:44 -0300,2013-02-05 18:07:41 -0300,57154,2013-02-02,4,1,"",,,
12650,,12,9078,4,2013-02-04 08:16:22 -0300,2013-02-05 16:32:16 -0300,231577,2013-02-04,4,1,"",,,
12655,,12,2852,1199,2013-02-04 09:11:31 -0300,2013-02-05 16:31:57 -0300,110802,2013-02-04,4,1,"",,,
12657,,12,9123,1199,2013-02-04 09:31:26 -0300,2013-02-05 16:29:57 -0300,130000,2013-02-04,4,1,"",,,
